provincia,fecha,u10_media,v10_media,t2m_media,mslp_media,ws10_media,blh_media,CLLJ_index,rel_hum_media,spec_hum_media,año,mes,provincia_homologada,coord_x,coord_y,velocidad_viento,direccion_viento,ind_vent_atm,Outlier,ventilacion_categoria,casos_mensuales
Bocas_del_Toro,2014-01-01,1.1620523929595947,-1.7909781138102214,295.50171915690106,101316.57552083331,2.85209051767985,409.00927734375,2.376411,82.19794209798177,0.0142610569794972,2014,1,Bocas del Toro,330470.9731680688,1019208.87285,2.1349398980136045,-0.995239301465598,1003.0551488619908,1,Pobre,0.0
Bocas_del_Toro,2014-02-01,0.7106360197067261,-1.5300223032633464,295.5289611816406,101290.97981770831,2.4786106745402017,419.28857421875,1.578411,80.10203552246094,0.0139259013036886,2014,2,Bocas del Toro,330470.9731680688,1019208.87285,1.6870008301681103,-1.135981742038006,812.5204929037852,1,Pobre,0.0
Bocas_del_Toro,2014-03-01,0.4624856114387512,-1.334149678548177,295.9962158203125,101331.64567057292,2.238392194112142,424.002197265625,0.1444112,79.80018107096355,0.0142309976120789,2014,3,Bocas del Toro,330470.9731680688,1019208.87285,1.4120369349128512,-1.2371072722020229,687.7334738104269,1,Pobre,0.0
Bocas_del_Toro,2014-04-01,0.499473770459493,-1.468065579732259,296.67283630371094,101225.07552083331,2.230768203735352,372.89306640625,2.029744,83.92976888020833,0.0154953474799791,2014,4,Bocas del Toro,330470.9731680688,1019208.87285,1.5507064821466492,-1.2428554413310335,664.2321762843058,1,Pobre,0.0
Bocas_del_Toro,2014-05-01,0.3746556242307027,-1.0545097986857097,297.1105702718099,101246.37727864584,1.8362398147583008,306.9786122639974,1.255078,87.40047200520833,0.0162680856883525,2014,5,Bocas del Toro,330470.9731680688,1019208.87285,1.1190879108863043,-1.2294175863169945,394.6192999802097,1,Pobre,0.0
Bocas_del_Toro,2014-06-01,0.7213658889134725,-1.3378896713256836,297.40480041503906,101158.78645833331,2.109681765238444,279.5054677327474,4.106411,89.61482747395833,0.0168525079886118,2014,6,Bocas del Toro,330470.9731680688,1019208.87285,1.5199728676288502,-1.076296683905925,488.01384459408416,1,Pobre,0.0
Bocas_del_Toro,2014-07-01,1.0247767964998882,-1.8121795654296875,297.04889424641925,101277.92447916669,2.6468947728474936,318.71136983235675,4.295078,89.79519653320312,0.0164680406451225,2014,7,Bocas del Toro,330470.9731680688,1019208.87285,2.0818650916919434,-1.0561353500715684,762.1775266758459,1,Pobre,0.0
Bocas_del_Toro,2014-08-01,0.6393779913584391,-0.8998244603474935,297.09625244140625,101258.44986979169,1.8860727945963545,292.9241434733073,0.7130777,86.10287984212239,0.0159233845770359,2014,8,Bocas del Toro,330470.9731680688,1019208.87285,1.1038515639673707,-0.9530191609542146,371.42560987215705,1,Pobre,0.0
Bocas_del_Toro,2014-09-01,0.5043629209200541,-0.6863218943277994,297.04590861002606,101182.314453125,1.6228946050008135,275.0194600423177,0.3797444,88.08641560872395,0.0163512229919433,2014,9,Bocas del Toro,330470.9731680688,1019208.87285,0.8517157381619221,-0.9370436951007994,269.0692675356503,1,Pobre,0.0
Bocas_del_Toro,2014-10-01,0.6743345571060976,-0.6343914667765299,297.06610107421875,101161.68587239584,1.7184645334879558,268.0660756429036,-1.365589,87.60869852701823,0.01622316117088,2014,10,Bocas del Toro,330470.9731680688,1019208.87285,0.9258399581063425,-0.7548870448645181,285.09117644271186,1,Pobre,0.0
Bocas_del_Toro,2014-11-01,0.9882739981015524,-1.4961280822753906,296.480463663737,101234.56998697916,2.372398376464844,317.5121612548828,-0.5789223,87.39549763997395,0.0156828537583351,2014,11,Bocas del Toro,330470.9731680688,1019208.87285,1.7930657360779234,-0.9870372333944016,653.9771509406518,1,Pobre,0.0
Bocas_del_Toro,2014-12-01,1.0975366632143655,-1.8922026952107749,296.0202941894531,101265.16080729169,2.873856544494629,343.6430358886719,0.6164111,87.96785481770833,0.0153539280096689,2014,12,Bocas del Toro,330470.9731680688,1019208.87285,2.1874683464824454,-1.045189162237003,863.4860457150743,1,Pobre,0.0
Bocas_del_Toro,2015-01-01,1.0275339484214785,-2.124439239501953,295.53871663411456,101371.51985677084,3.12734603881836,410.36670939127606,1.859078,84.440185546875,0.01446283608675,2015,1,Bocas del Toro,330470.9731680688,1019208.87285,2.359887306100499,-1.120295405426879,1112.4215285922342,1,Pobre,0.0
Bocas_del_Toro,2015-02-01,0.9201132853825889,-1.7368745803833008,295.67882283528644,101357.46126302084,2.68953545888265,406.3351236979167,-0.1329222,82.27384440104167,0.0143115843335787,2015,2,Bocas del Toro,330470.9731680688,1019208.87285,1.9655385434834924,-1.0836311550303688,917.4278679177828,1,Pobre,0.0
Bocas_del_Toro,2015-03-01,0.5504702726999918,-1.587436358133952,295.80726114908856,101379.275390625,2.552843729654948,430.10791015625,1.595078,80.36011759440105,0.0140699284772078,2015,3,Bocas del Toro,330470.9731680688,1019208.87285,1.6801701438401968,-1.2370047362579286,830.1120000863372,1,Pobre,0.0
Bocas_del_Toro,2015-04-01,0.4267937342325846,-1.426957130432129,296.6912485758464,101203.88509114584,2.214475949605306,365.7255096435547,1.932411,84.60975646972656,0.0156263237198193,2015,4,Bocas del Toro,330470.9731680688,1019208.87285,1.489415839740967,-1.2801713063035998,625.7159434806529,1,Pobre,0.0
